row_id,source_dataset,source_class,id_code,relative_image_path,candidate_bucket,confidence,auto_quality_score,contact_sheet_file,tile_position,manual_bucket,reviewer_decision,notes
row_1258,kaggle_dr_224x224_2019,Proliferate_DR,3a6e9730b298,images/proliferate_dr/row_1258_proliferate_dr_3a6e9730b298.png,dr_pattern_dominant,medium,100.0,batch_008A_contact_sheets/batch_008A_page_001.jpg,r01c01,,,
row_1290,kaggle_dr_224x224_2019,Proliferate_DR,5b5b80a3edee,images/proliferate_dr/row_1290_proliferate_dr_5b5b80a3edee.png,dr_pattern_dominant,medium,100.0,batch_008A_contact_sheets/batch_008A_page_001.jpg,r01c02,,,
row_1307,kaggle_dr_224x224_2019,Proliferate_DR,64fedbf97473,images/proliferate_dr/row_1307_proliferate_dr_64fedbf97473.png,dr_pattern_dominant,medium,100.0,batch_008A_contact_sheets/batch_008A_page_001.jpg,r01c03,,,
row_1345,kaggle_dr_224x224_2019,Proliferate_DR,7efc91af4ae6,images/proliferate_dr/row_1345_proliferate_dr_7efc91af4ae6.png,dr_pattern_dominant,medium,100.0,batch_008A_contact_sheets/batch_008A_page_001.jpg,r01c04,,,
row_1402,kaggle_dr_224x224_2019,Proliferate_DR,b99afe7137fb,images/proliferate_dr/row_1402_proliferate_dr_b99afe7137fb.png,dr_pattern_dominant,medium,98.3,batch_008A_contact_sheets/batch_008A_page_001.jpg,r02c01,,,
row_1412,kaggle_dr_224x224_2019,Proliferate_DR,bfdee9be1f1d,images/proliferate_dr/row_1412_proliferate_dr_bfdee9be1f1d.png,dr_pattern_dominant,medium,98.2,batch_008A_contact_sheets/batch_008A_page_001.jpg,r02c02,,,
row_1071,kaggle_dr_224x224_2019,Severe,6089fa333013,images/severe/row_1071_severe_6089fa333013.png,dr_pattern_dominant,medium,97.4,batch_008A_contact_sheets/batch_008A_page_001.jpg,r02c03,,,
row_1185,kaggle_dr_224x224_2019,Severe,f64214bed40e,images/severe/row_1185_severe_f64214bed40e.png,dr_pattern_dominant,medium,96.1,batch_008A_contact_sheets/batch_008A_page_001.jpg,r02c04,,,
row_1120,kaggle_dr_224x224_2019,Severe,9f37c98b8187,images/severe/row_1120_severe_9f37c98b8187.png,dr_pattern_dominant,medium,96.0,batch_008A_contact_sheets/batch_008A_page_001.jpg,r03c01,,,
row_1207,kaggle_dr_224x224_2019,Proliferate_DR,0bf37ca3156a,images/proliferate_dr/row_1207_proliferate_dr_0bf37ca3156a.png,dr_pattern_dominant,medium,95.2,batch_008A_contact_sheets/batch_008A_page_001.jpg,r03c02,,,
row_1321,kaggle_dr_224x224_2019,Proliferate_DR,6daef3e5ca22,images/proliferate_dr/row_1321_proliferate_dr_6daef3e5ca22.png,dr_pattern_dominant,medium,95.2,batch_008A_contact_sheets/batch_008A_page_001.jpg,r03c03,,,
row_1117,kaggle_dr_224x224_2019,Severe,9bafbbd152d2,images/severe/row_1117_severe_9bafbbd152d2.png,dr_pattern_dominant,medium,93.2,batch_008A_contact_sheets/batch_008A_page_001.jpg,r03c04,,,
row_1066,kaggle_dr_224x224_2019,Severe,51da6aebba8f,images/severe/row_1066_severe_51da6aebba8f.png,dr_pattern_dominant,medium,92.6,batch_008A_contact_sheets/batch_008A_page_001.jpg,r04c01,,,
row_1085,kaggle_dr_224x224_2019,Severe,72595230840c,images/severe/row_1085_severe_72595230840c.png,dr_pattern_dominant,medium,92.6,batch_008A_contact_sheets/batch_008A_page_001.jpg,r04c02,,,
row_1316,kaggle_dr_224x224_2019,Proliferate_DR,6c3745a222da,images/proliferate_dr/row_1316_proliferate_dr_6c3745a222da.png,dr_pattern_dominant,medium,92.6,batch_008A_contact_sheets/batch_008A_page_001.jpg,r04c03,,,
row_1462,kaggle_dr_224x224_2019,Proliferate_DR,eadc57064154,images/proliferate_dr/row_1462_proliferate_dr_eadc57064154.png,dr_pattern_dominant,medium,92.6,batch_008A_contact_sheets/batch_008A_page_001.jpg,r04c04,,,
row_1022,kaggle_dr_224x224_2019,Severe,1b495ac025b7,images/severe/row_1022_severe_1b495ac025b7.png,dr_pattern_dominant,medium,92.3,batch_008A_contact_sheets/batch_008A_page_002.jpg,r01c01,,,
row_1289,kaggle_dr_224x224_2019,Proliferate_DR,59fee5bc3479,images/proliferate_dr/row_1289_proliferate_dr_59fee5bc3479.png,dr_pattern_dominant,medium,92.1,batch_008A_contact_sheets/batch_008A_page_002.jpg,r01c02,,,
row_1296,kaggle_dr_224x224_2019,Proliferate_DR,5e7db41b3bee,images/proliferate_dr/row_1296_proliferate_dr_5e7db41b3bee.png,dr_pattern_dominant,medium,92.1,batch_008A_contact_sheets/batch_008A_page_002.jpg,r01c03,,,
row_1212,kaggle_dr_224x224_2019,Proliferate_DR,11242a67122d,images/proliferate_dr/row_1212_proliferate_dr_11242a67122d.png,dr_pattern_dominant,medium,92.0,batch_008A_contact_sheets/batch_008A_page_002.jpg,r01c04,,,
row_1308,kaggle_dr_224x224_2019,Proliferate_DR,65c958379680,images/proliferate_dr/row_1308_proliferate_dr_65c958379680.png,dr_pattern_dominant,medium,92.0,batch_008A_contact_sheets/batch_008A_page_002.jpg,r02c01,,,
row_1138,kaggle_dr_224x224_2019,Severe,b2ffa3e18559,images/severe/row_1138_severe_b2ffa3e18559.png,dr_pattern_dominant,medium,91.8,batch_008A_contact_sheets/batch_008A_page_002.jpg,r02c02,,,
row_1273,kaggle_dr_224x224_2019,Proliferate_DR,46d3316c4857,images/proliferate_dr/row_1273_proliferate_dr_46d3316c4857.png,dr_pattern_dominant,medium,91.7,batch_008A_contact_sheets/batch_008A_page_002.jpg,r02c03,,,
row_1068,kaggle_dr_224x224_2019,Severe,5b3e7197ac1c,images/severe/row_1068_severe_5b3e7197ac1c.png,dr_pattern_dominant,medium,91.5,batch_008A_contact_sheets/batch_008A_page_002.jpg,r02c04,,,
row_1146,kaggle_dr_224x224_2019,Severe,bb7e0a2544cd,images/severe/row_1146_severe_bb7e0a2544cd.png,dr_pattern_dominant,medium,91.4,batch_008A_contact_sheets/batch_008A_page_002.jpg,r03c01,,,
row_1177,kaggle_dr_224x224_2019,Severe,e76a9cbb2a8c,images/severe/row_1177_severe_e76a9cbb2a8c.png,dr_pattern_dominant,medium,91.4,batch_008A_contact_sheets/batch_008A_page_002.jpg,r03c02,,,
row_1214,kaggle_dr_224x224_2019,Proliferate_DR,1638404f385c,images/proliferate_dr/row_1214_proliferate_dr_1638404f385c.png,dr_pattern_dominant,medium,91.4,batch_008A_contact_sheets/batch_008A_page_002.jpg,r03c03,,,
row_1287,kaggle_dr_224x224_2019,Proliferate_DR,576e189d23d4,images/proliferate_dr/row_1287_proliferate_dr_576e189d23d4.png,dr_pattern_dominant,medium,91.4,batch_008A_contact_sheets/batch_008A_page_002.jpg,r03c04,,,
row_1425,kaggle_dr_224x224_2019,Proliferate_DR,cc3d2e961768,images/proliferate_dr/row_1425_proliferate_dr_cc3d2e961768.png,dr_pattern_dominant,medium,91.4,batch_008A_contact_sheets/batch_008A_page_002.jpg,r04c01,,,
row_1424,kaggle_dr_224x224_2019,Proliferate_DR,cbd0870aa933,images/proliferate_dr/row_1424_proliferate_dr_cbd0870aa933.png,dr_pattern_dominant,medium,91.3,batch_008A_contact_sheets/batch_008A_page_002.jpg,r04c02,,,
row_1201,kaggle_dr_224x224_2019,Proliferate_DR,07122e268a1d,images/proliferate_dr/row_1201_proliferate_dr_07122e268a1d.png,dr_pattern_dominant,medium,90.5,batch_008A_contact_sheets/batch_008A_page_002.jpg,r04c03,,,
row_1442,kaggle_dr_224x224_2019,Proliferate_DR,dad71ba27a9b,images/proliferate_dr/row_1442_proliferate_dr_dad71ba27a9b.png,dr_pattern_dominant,medium,90.3,batch_008A_contact_sheets/batch_008A_page_002.jpg,r04c04,,,
row_1240,kaggle_dr_224x224_2019,Proliferate_DR,26463a5fb949,images/proliferate_dr/row_1240_proliferate_dr_26463a5fb949.png,dr_pattern_dominant,medium,90.2,batch_008A_contact_sheets/batch_008A_page_003.jpg,r01c01,,,
row_1170,kaggle_dr_224x224_2019,Severe,e13412678eff,images/severe/row_1170_severe_e13412678eff.png,dr_pattern_dominant,medium,90.1,batch_008A_contact_sheets/batch_008A_page_003.jpg,r01c02,,,
row_1106,kaggle_dr_224x224_2019,Severe,8c0d05233238,images/severe/row_1106_severe_8c0d05233238.png,dr_pattern_dominant,medium,89.8,batch_008A_contact_sheets/batch_008A_page_003.jpg,r01c03,,,
row_1365,kaggle_dr_224x224_2019,Proliferate_DR,8db2ce991101,images/proliferate_dr/row_1365_proliferate_dr_8db2ce991101.png,dr_pattern_dominant,medium,89.8,batch_008A_contact_sheets/batch_008A_page_003.jpg,r01c04,,,
row_1081,kaggle_dr_224x224_2019,Severe,6e92b1c5ac8e,images/severe/row_1081_severe_6e92b1c5ac8e.png,dr_pattern_dominant,medium,89.6,batch_008A_contact_sheets/batch_008A_page_003.jpg,r02c01,,,
row_1119,kaggle_dr_224x224_2019,Severe,9c52b87d01f1,images/severe/row_1119_severe_9c52b87d01f1.png,dr_pattern_dominant,medium,89.6,batch_008A_contact_sheets/batch_008A_page_003.jpg,r02c02,,,
row_1432,kaggle_dr_224x224_2019,Proliferate_DR,d1a24527a15d,images/proliferate_dr/row_1432_proliferate_dr_d1a24527a15d.png,dr_pattern_dominant,medium,89.5,batch_008A_contact_sheets/batch_008A_page_003.jpg,r02c03,,,
row_1009,kaggle_dr_224x224_2019,Severe,0cb14014117d,images/severe/row_1009_severe_0cb14014117d.png,dr_pattern_dominant,medium,89.3,batch_008A_contact_sheets/batch_008A_page_003.jpg,r02c04,,,
row_1418,kaggle_dr_224x224_2019,Proliferate_DR,c3d12a23f451,images/proliferate_dr/row_1418_proliferate_dr_c3d12a23f451.png,dr_pattern_dominant,medium,89.3,batch_008A_contact_sheets/batch_008A_page_003.jpg,r03c01,,,
row_1293,kaggle_dr_224x224_2019,Proliferate_DR,5c7ab966a3ee,images/proliferate_dr/row_1293_proliferate_dr_5c7ab966a3ee.png,dr_pattern_dominant,medium,89.2,batch_008A_contact_sheets/batch_008A_page_003.jpg,r03c02,,,
row_1423,kaggle_dr_224x224_2019,Proliferate_DR,cb547e723a16,images/proliferate_dr/row_1423_proliferate_dr_cb547e723a16.png,dr_pattern_dominant,medium,89.0,batch_008A_contact_sheets/batch_008A_page_003.jpg,r03c03,,,
row_1262,kaggle_dr_224x224_2019,Proliferate_DR,3b4a5fcbe5e0,images/proliferate_dr/row_1262_proliferate_dr_3b4a5fcbe5e0.png,dr_pattern_dominant,medium,88.8,batch_008A_contact_sheets/batch_008A_page_003.jpg,r03c04,,,
row_1264,kaggle_dr_224x224_2019,Proliferate_DR,3ca637fddd56,images/proliferate_dr/row_1264_proliferate_dr_3ca637fddd56.png,dr_pattern_dominant,medium,88.8,batch_008A_contact_sheets/batch_008A_page_003.jpg,r04c01,,,
row_1047,kaggle_dr_224x224_2019,Severe,3fa4f4d77177,images/severe/row_1047_severe_3fa4f4d77177.png,dr_pattern_dominant,medium,88.7,batch_008A_contact_sheets/batch_008A_page_003.jpg,r04c02,,,
row_1154,kaggle_dr_224x224_2019,Severe,c5ba9e455d5e,images/severe/row_1154_severe_c5ba9e455d5e.png,dr_pattern_dominant,medium,88.5,batch_008A_contact_sheets/batch_008A_page_003.jpg,r04c03,,,
row_1356,kaggle_dr_224x224_2019,Proliferate_DR,8785b71238d8,images/proliferate_dr/row_1356_proliferate_dr_8785b71238d8.png,dr_pattern_dominant,medium,88.2,batch_008A_contact_sheets/batch_008A_page_003.jpg,r04c04,,,
